order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_value,delivery_method,traffic_condition,weather_condition,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,preferred_cuisine,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,traffic_avoidance
ORD000020,36.0,Chicken rice,02-12-24,02-12-24,11.93,39.61,Car,Medium,Snowy,8.84,Route_4,CUST000020,38,Other,Ahmedabad,45,5,Mexican,Monthly,Yes,Hot,2,3,Fair,1,False,True,Car-only,0.842801527,Yes
ORD000021,5.0,Salad,,07-28-24,7.48,26.81,Bike,Medium,Sunny,2.09,Route_1,CUST000021,18,Other,Mumbai,39,5,American,Monthly,Yes,Warm,1,4,Good,3,False,False,Bike-friendly,0.886163723,Yes
ORD000022,97.0,Burritos,03-26-24,03-26-24,13.52,46.08,Walk,Low,Sunny,-1.81,Route_4,CUST000022,58,Male,Hyderabad,14,2,Mediterranean,Weekly,Yes,Cold,3,2,Fair,5,False,True,Car-only,0.092455456,No
ORD000023,26.0,Taccos,01-28-24,01-28-24,11.97,27.55,Car,Low,Sunny,16.39,Route_5,CUST000023,23,Female,Lucknow,28,3,Asian,Weekly,Yes,Hot,1,4,Fair,3,False,False,Mixed,0.202931053,No
ORD000024,83.0,CoffeeBoba tea,03-27-24,03-27-24,9.62,29.43,Bike,Low,Sunny,-4.52,Route_2,CUST000024,53,Male,Jaipur,27,4,Mexican,Monthly,Yes,Hot,2,2,Fair,4,False,False,Bike-friendly,0.308707211,No
ORD000025,15.0,Pasta,03-23-24,03-23-24,13.48,47.46,Car,Medium,Snowy,7.27,Route_5,CUST000025,57,Female,Delhi,19,2,Mexican,Monthly,No,Hot,5,3,Good,1,False,True,Bike-friendly,0.270757461,No
ORD000026,95.0,Salad,06-21-24,06-21-24,10.18,43.76,Walk,High,Rainy,5.19,Route_5,CUST000026,56,Female,Hyderabad,31,4,Mediterranean,Weekly,Yes,Hot,3,3,Poor,1,True,True,Mixed,0.663866674,No
ORD000027,32.0,Chicken rice,12-09-24,12-09-24,5.21,36.17,Car,High,Rainy,11.5,Route_3,CUST000027,39,Other,Bangalore,3,1,Asian,Weekly,Yes,Warm,1,2,Fair,4,True,True,Bike-friendly,0.57808854,No
ORD000028,72.0,Dumplings,07-17-24,07-17-24,12.23,14.45,Walk,Low,Snowy,15.33,Route_5,CUST000028,41,Female,Mumbai,49,2,Italian,Monthly,No,Hot,3,4,Poor,2,True,False,Mixed,0.648014594,No
ORD000029,62.0,Salad,03-17-24,03-17-24,7.47,35.34,Car,High,Snowy,-0.87,Route_4,CUST000029,25,Other,Lucknow,19,1,American,Monthly,Yes,Hot,2,1,Good,5,True,False,Car-only,0.799590345,No
ORD000030,56.0,Briyani rice,07-27-24,07-27-24,6.25,13.32,Walk,High,Snowy,15.13,Route_1,CUST000030,58,Female,Kolkata,2,2,Asian,Weekly,Yes,Hot,3,2,Good,1,True,False,Mixed,0.783572333,No
ORD000031,40.0,Briyani rice,02-12-24,02-12-24,8.56,24.65,Walk,Low,Rainy,9.72,Route_3,CUST000031,37,Other,Jaipur,25,1,American,Monthly,Yes,Cold,4,5,Good,5,True,False,Car-only,0.639062239,No
ORD000032,1.0,Whole cake,07-19-24,07-19-24,4.73,44.68,Walk,High,Rainy,16.14,Route_1,CUST000032,46,Other,Lucknow,45,2,Mediterranean,Weekly,No,Cold,3,4,Poor,3,False,True,Mixed,0.632969657,No
ORD000033,69.0,Pasta,10-17-24,10-17-24,3.53,36.31,Car,Low,Rainy,3.67,Route_3,CUST000033,49,Male,Jaipur,2,1,Asian,Monthly,Yes,Hot,5,2,Fair,4,False,True,Bike-friendly,0.701745412,No
ORD000034,46.0,,03-10-24,03-10-24,8.65,9.43,Car,Medium,Rainy,12.13,Route_2,CUST000034,24,Other,Ahmedabad,13,1,Asian,Weekly,Yes,Hot,3,2,Good,1,False,True,Car-only,0.256279843,No
ORD000035,51.0,Chicken wings,10-21-24,10-21-24,14.2,18.91,Walk,High,Sunny,8.64,Route_2,CUST000035,33,Female,Mumbai,42,3,Asian,Monthly,No,Hot,5,3,Fair,4,False,True,Car-only,0.640146517,No
ORD000036,42.0,Salad,01-13-24,01-13-24,5.93,39.9,Bike,High,Rainy,12.89,Route_4,CUST000036,22,Male,Kolkata,48,2,Mexican,Monthly,No,Hot,3,2,Poor,1,False,True,Car-only,0.96597044,Yes
ORD000037,48.0,Pizza,06-22-24,06-22-24,14.11,40.09,Car,Medium,Sunny,2.07,Route_2,CUST000037,31,Other,Pune,38,5,Asian,Weekly,Yes,Warm,3,5,Poor,2,True,False,Car-only,0.397133066,No
ORD000038,12.0,Salad,02-24-24,02-24-24,7.27,9.71,Bike,Low,Sunny,15.09,Route_2,CUST000038,33,Other,Kolkata,25,5,Asian,Weekly,Yes,Cold,2,1,Fair,1,False,True,Car-only,0.847325643,Yes
ORD000039,87.0,Pasta,03-01-24,03-01-24,10.87,22.58,Car,Medium,Snowy,14.37,Route_4,CUST000039,21,Female,Ahmedabad,31,1,American,Monthly,Yes,Hot,3,1,Poor,4,False,False,Car-only,0.248544554,No
ORD000040,91.0,Cup cake,07-01-24,07-01-24,8.48,34.62,Bike,High,Sunny,5.04,Route_3,CUST000040,46,Other,Chennai,45,4,Asian,Weekly,No,Hot,5,1,Poor,3,True,False,Mixed,0.705624781,No
ORD000041,65.0,PastrySmoothie,08-27-24,08-27-24,13.13,31.61,Bike,High,Rainy,1.39,Route_1,CUST000041,53,Male,Lucknow,27,4,American,Monthly,No,Cold,5,5,Fair,3,True,True,Bike-friendly,0.969488907,Yes
ORD000042,45.0,Whole cake,09-10-24,09-10-24,12.61,8.51,Bike,Medium,Rainy,-1.95,Route_3,CUST000042,36,Male,Chennai,43,5,American,Weekly,Yes,Warm,3,3,Poor,3,True,False,Bike-friendly,0.921055886,Yes
ORD000043,44.0,Dumplings,03-18-24,03-18-24,12.34,25.0,Bike,High,Snowy,6.26,Route_4,CUST000043,47,Other,Jaipur,45,3,Italian,Monthly,Yes,Cold,5,1,Fair,3,False,False,Bike-friendly,0.68859226,No
ORD000044,3.0,Burritos,03-08-24,03-08-24,7.33,22.31,Walk,High,Rainy,14.21,Route_1,CUST000044,29,Male,Delhi,27,4,Mediterranean,Monthly,Yes,Hot,2,3,Good,4,True,True,Mixed,0.15193539,No
ORD000045,72.0,Shawarma,02-13-24,02-13-24,5.79,40.82,Car,Low,Snowy,-3.27,Route_5,CUST000045,35,Male,Mumbai,50,5,Mexican,Weekly,Yes,Cold,2,3,Poor,5,True,False,Mixed,0.500583503,No
ORD000046,23.0,CoffeeBoba tea,03-18-24,03-18-24,8.36,43.4,Bike,Low,Rainy,-3.75,Route_1,CUST000046,55,Female,Chennai,5,5,Mexican,Monthly,Yes,Warm,4,1,Poor,1,False,True,Car-only,0.51973805,No
ORD000047,8.0,,08-29-24,08-29-24,2.24,24.48,Walk,Low,Rainy,0.72,Route_3,CUST000047,41,Female,Ahmedabad,24,1,Mediterranean,Weekly,Yes,Cold,1,1,Poor,2,False,True,Mixed,0.895542098,Yes
ORD000048,25.0,Shawarma,08-21-24,08-21-24,8.31,25.13,Walk,High,Rainy,13.65,Route_2,CUST000048,34,Other,Delhi,3,3,Italian,Monthly,No,Warm,4,2,Good,4,True,False,Mixed,0.884351993,Yes
ORD000049,65.0,Pizza,02-26-24,02-26-24,7.7,10.8,Bike,Medium,Snowy,6.19,Route_5,CUST000049,57,Other,Ahmedabad,7,3,Asian,Monthly,No,Warm,4,2,Good,4,False,False,Car-only,0.22689578,No
ORD000050,77.0,Cookie,10-27-24,10-27-24,3.62,38.18,Car,Medium,Snowy,1.36,Route_1,CUST000050,47,Other,Pune,24,2,Mexican,Monthly,Yes,Hot,1,5,Good,3,False,True,Mixed,0.6126519,No
ORD000051,41.0,PastrySmoothie,08-20-24,08-20-24,10.16,40.61,Bike,Low,Snowy,-9.22,Route_4,CUST000051,56,Male,Pune,25,2,Mexican,Monthly,Yes,Hot,2,5,Poor,2,False,True,Car-only,0.227414269,No
ORD000052,93.0,Burritos,09-22-24,09-22-24,7.37,31.47,Walk,Low,Sunny,15.48,Route_2,CUST000052,32,Male,Hyderabad,46,4,Asian,Weekly,No,Warm,1,1,Fair,2,False,True,Bike-friendly,0.999323806,Yes
ORD000053,47.0,Salad,12-06-24,12-06-24,3.05,16.86,Bike,High,Rainy,3.96,Route_3,CUST000053,29,Other,Jaipur,50,5,Mediterranean,Weekly,Yes,Warm,1,2,Poor,2,True,True,Car-only,0.299440173,No
ORD000054,6.0,Cookie,07-30-24,07-30-24,12.34,6.17,Bike,Low,Sunny,-0.68,Route_1,CUST000054,21,Male,Pune,41,3,Italian,Weekly,Yes,Cold,3,5,Poor,1,False,True,Bike-friendly,0.553339658,No
ORD000055,94.0,Taccos,08-22-24,08-22-24,9.14,15.22,Walk,Low,Rainy,5.46,Route_1,CUST000055,36,Other,Bangalore,32,3,Mexican,Weekly,No,Hot,5,1,Fair,3,True,True,Bike-friendly,0.668789489,No
ORD000056,9.0,Chicken pie,10-05-24,10-05-24,4.84,38.07,Walk,High,Rainy,14.93,Route_4,CUST000056,40,Other,Delhi,15,4,Asian,Monthly,No,Hot,3,3,Good,5,False,True,Car-only,0.530456842,No
ORD000057,63.0,Pizza,11-30-24,11-30-24,11.42,14.01,Bike,High,Rainy,-3.27,Route_5,CUST000057,36,Female,Kolkata,29,1,Italian,Monthly,Yes,Cold,1,5,Poor,5,True,True,Bike-friendly,0.779187601,No
ORD000058,100.0,Soup,08-29-24,08-29-24,11.44,43.75,Bike,Medium,Rainy,12.12,Route_4,CUST000058,55,Other,Lucknow,9,1,Mexican,Monthly,Yes,Warm,5,5,Fair,3,True,True,Bike-friendly,0.91334555,Yes
ORD000059,4.0,Cup cake,04-15-24,04-15-24,9.62,11.27,Walk,Low,Sunny,-3.31,Route_5,CUST000059,60,Other,Ahmedabad,40,2,Italian,Weekly,Yes,Warm,3,3,Good,5,False,False,Car-only,0.518263964,No
ORD000060,13.0,Whole cake,02-15-24,02-15-24,8.55,43.48,Car,Low,Rainy,-1.2,Route_5,CUST000060,60,Male,Mumbai,35,3,Asian,Weekly,No,Warm,5,1,Fair,3,True,False,Car-only,0.63823206,No
ORD000061,21.0,Taccos,06-22-24,06-22-24,2.15,16.81,Bike,Low,Rainy,19.38,Route_1,CUST000061,34,Male,Lucknow,3,3,American,Monthly,Yes,Hot,2,4,Poor,2,False,False,Mixed,0.913419129,Yes
ORD000062,81.0,,04-07-24,04-07-24,2.1,12.8,Walk,Medium,Sunny,11.74,Route_2,CUST000062,23,Male,Ahmedabad,17,2,Mediterranean,Monthly,No,Cold,4,2,Good,2,True,True,Mixed,0.696801641,No
ORD000063,53.0,Burger,06-20-24,06-20-24,,41.17,Car,Low,Snowy,10.74,Route_2,CUST000063,53,Other,Chennai,46,3,Italian,Monthly,Yes,Cold,4,1,Poor,1,True,True,Car-only,0.141916274,No
ORD000064,20.0,Cup cake,01-26-24,01-26-24,6.9,47.64,Walk,Low,Sunny,0.49,Route_3,CUST000064,49,Female,Bangalore,28,2,Italian,Weekly,Yes,Hot,1,1,Poor,4,False,True,Car-only,0.347345874,No
ORD000065,11.0,,01-25-24,01-25-24,8.1,7.31,Car,Medium,Rainy,-6.29,Route_3,CUST000065,29,Other,Jaipur,5,5,Asian,Weekly,No,Cold,1,4,Good,5,False,False,Mixed,0.794898373,No
ORD000066,20.0,Chicken wings,01-03-24,01-03-24,11.09,31.52,Bike,Medium,Rainy,-8.88,Route_3,CUST000066,43,Female,Kolkata,8,4,American,Weekly,Yes,Hot,2,4,Fair,3,True,False,Mixed,0.088122689,No
ORD000067,20.0,Pasta,05-26-24,05-26-24,15.0,28.89,Car,High,Snowy,-1.25,Route_4,CUST000067,28,Female,Mumbai,20,4,Asian,Weekly,Yes,Cold,2,1,Fair,1,False,False,Car-only,0.557810931,No
ORD000068,9.0,Burritos,08-28-24,08-28-24,9.88,18.72,Walk,High,Snowy,11.27,Route_4,CUST000068,39,Male,Mumbai,8,1,Asian,Weekly,No,Cold,3,1,Good,4,True,True,Bike-friendly,0.785216237,No
ORD000069,69.0,Cup cake,04-04-24,04-04-24,12.64,33.61,Bike,Low,Snowy,-5.25,Route_5,CUST000069,18,Other,Bangalore,24,4,Asian,Monthly,No,Hot,3,3,Good,3,True,False,Mixed,0.807200452,Yes
ORD000070,16.0,Cookie,04-26-24,04-26-24,10.04,47.82,Walk,High,Sunny,9.13,Route_2,CUST000070,52,Other,Pune,35,1,Mediterranean,Monthly,No,Hot,5,5,Poor,2,False,False,Mixed,0.66405748,No
ORD000071,59.0,Cup cake,03-25-24,03-25-24,14.87,6.47,Car,Low,Snowy,2.26,Route_5,CUST000071,42,Male,Ahmedabad,27,5,American,Monthly,No,Cold,4,1,Poor,2,False,False,Mixed,0.66431047,No
ORD000072,18.0,Beef pie,04-01-24,04-01-24,4.27,24.16,Car,High,Rainy,6.34,Route_3,CUST000072,44,Female,Pune,27,2,Mexican,Weekly,Yes,Hot,3,1,Poor,3,True,True,Bike-friendly,0.853675684,Yes
ORD000073,44.0,Chicken pie,12-12-24,12-12-24,8.34,15.17,Bike,High,Sunny,-8.18,Route_3,CUST000073,50,Female,Jaipur,24,5,Mexican,Weekly,No,Hot,4,2,Fair,2,True,True,Mixed,0.096013685,No
ORD000074,2.0,Cup cake,04-14-24,04-14-24,11.13,43.47,Bike,Low,Sunny,-6.52,Route_5,CUST000074,28,Other,Pune,23,4,Mediterranean,Weekly,Yes,Hot,2,3,Fair,1,False,True,Bike-friendly,0.026889411,No
ORD000075,36.0,Cup cake,09-29-24,09-29-24,10.76,13.14,Car,Medium,Snowy,-1.76,Route_1,CUST000075,23,Other,Pune,28,3,Asian,Weekly,No,Warm,4,5,Poor,3,False,False,Bike-friendly,0.718275695,No
ORD000076,18.0,Chicken pie,06-09-24,06-09-24,3.81,13.17,Walk,Medium,Sunny,-7.02,Route_3,CUST000076,30,Other,Mumbai,19,5,American,Weekly,Yes,Warm,5,3,Good,4,True,False,Mixed,0.723247581,No
ORD000077,41.0,Burritos,11-12-24,11-12-24,14.71,36.55,Walk,Low,Snowy,11.51,Route_4,CUST000077,55,Other,Kolkata,10,2,Italian,Weekly,No,Warm,5,4,Poor,4,False,True,Bike-friendly,0.696960193,No
ORD000078,96.0,Briyani rice,03-31-24,03-31-24,3.08,15.62,Car,High,Snowy,10.49,Route_2,CUST000078,31,Other,Mumbai,43,4,Mediterranean,Weekly,No,Warm,3,1,Poor,2,True,True,Mixed,0.906722097,Yes
ORD000079,39.0,,11-10-24,11-10-24,13.2,42.18,Walk,High,Sunny,-0.74,Route_3,CUST000079,47,Female,Delhi,43,3,Asian,Weekly,Yes,Warm,4,3,Fair,1,False,True,Car-only,0.654936791,No
ORD000080,86.0,Beef pie,02-09-24,02-09-24,7.71,24.34,Car,Low,Sunny,16.58,Route_2,CUST000080,52,Other,Hyderabad,37,2,Asian,Monthly,Yes,Hot,4,1,Good,2,False,True,Car-only,0.459782472,No
ORD000081,35.0,Pasta,07-02-24,07-02-24,11.25,40.28,Walk,Medium,Sunny,-2.4,Route_1,CUST000081,58,Male,Delhi,6,4,American,Weekly,Yes,Warm,2,3,Poor,1,True,True,Mixed,0.011183576,No
ORD000082,3.0,Chicken wings,11-06-24,11-06-24,12.17,22.16,Car,High,Rainy,-3.55,Route_2,CUST000082,21,Other,Ahmedabad,12,3,Asian,Weekly,No,Cold,5,4,Good,5,False,False,Bike-friendly,0.992852178,Yes
ORD000083,92.0,Cookie,11-10-24,11-10-24,10.09,5.2,Bike,Low,Rainy,14.44,Route_3,CUST000083,24,Male,Kolkata,29,3,Mediterranean,Weekly,No,Cold,2,4,Fair,2,True,True,Bike-friendly,0.421680342,No
ORD000084,87.0,Salad,07-24-24,07-24-24,8.32,8.87,Bike,Low,Sunny,-2.91,Route_3,CUST000084,36,Female,Delhi,30,1,American,Monthly,No,Cold,2,4,Poor,3,True,True,Bike-friendly,0.305764325,No
ORD000085,8.0,Pizza,09-03-24,,5.88,42.18,Walk,Medium,Rainy,-4.03,Route_3,CUST000085,58,Other,Pune,46,5,Asian,Weekly,No,Warm,5,4,Good,2,False,False,Mixed,0.146115255,No
ORD000086,48.0,Chicken wings,02-22-24,02-22-24,13.37,15.42,Walk,Low,Snowy,3.99,Route_3,CUST000086,24,Other,Mumbai,39,2,Italian,Monthly,No,Hot,2,3,Good,1,False,False,Mixed,0.376999881,No
ORD000087,,Briyani rice,07-28-24,07-28-24,11.99,13.02,Car,Low,Snowy,6.98,Route_2,CUST000087,23,Female,Ahmedabad,42,3,American,Monthly,No,Hot,4,1,Poor,2,True,False,Bike-friendly,0.64546847,No
ORD000088,24.0,Dumplings,08-05-24,08-05-24,13.3,21.63,Car,Low,Sunny,-0.78,Route_1,CUST000088,55,Other,Kolkata,13,1,Mediterranean,Weekly,No,Cold,5,2,Fair,1,False,False,Car-only,0.21501213,No
ORD000089,65.0,Chicken rice,11-01-24,11-01-24,8.21,12.33,Car,High,Rainy,-3.68,Route_4,CUST000089,35,Other,Chennai,23,3,Asian,Monthly,No,Warm,4,4,Good,1,False,False,Bike-friendly,0.853680934,Yes
ORD000090,10.0,PastrySmoothie,03-21-24,03-21-24,14.7,40.19,Car,Low,Sunny,6.2,Route_1,CUST000090,32,Female,Kolkata,20,4,Italian,Monthly,No,Warm,5,3,Poor,3,False,False,Car-only,0.195133055,No
ORD000091,100.0,Whole cake,10-29-24,10-29-24,4.7,40.09,Walk,High,Sunny,12.14,Route_5,CUST000091,52,Male,Chennai,7,4,American,Monthly,No,Hot,3,3,Poor,5,False,True,Car-only,0.823981885,Yes
ORD000092,32.0,PastrySmoothie,,07-27-24,7.87,40.75,Walk,Low,Snowy,-4.37,Route_2,CUST000092,46,Female,Jaipur,30,2,Asian,Weekly,No,Hot,4,4,Good,5,True,True,Mixed,0.123574545,No
ORD000093,59.0,Chicken pie,06-03-24,06-03-24,11.15,45.21,Car,High,Snowy,17.64,Route_5,CUST000093,48,Male,Bangalore,22,4,Italian,Weekly,Yes,Hot,1,2,Poor,2,False,True,Car-only,0.497089659,No
ORD000094,85.0,Fried chicken,01-17-24,01-17-24,12.03,12.3,Car,Low,Rainy,-2.81,Route_5,CUST000094,21,Other,Ahmedabad,16,3,Mexican,Weekly,No,Warm,5,1,Poor,4,True,False,Bike-friendly,0.304091532,No
ORD000095,34.0,Briyani rice,,06-02-24,2.98,8.7,Car,High,Snowy,-2.67,Route_3,CUST000095,59,Other,Mumbai,1,4,Mexican,Monthly,No,Hot,1,5,Fair,4,False,True,Bike-friendly,0.003103064,No
ORD000096,63.0,Cookie,11-04-24,11-04-24,13.4,25.7,Bike,High,Rainy,3.23,Route_5,CUST000096,23,Female,Kolkata,10,1,Asian,Monthly,Yes,Hot,2,2,Poor,1,False,False,Car-only,0.327402133,No
ORD000097,25.0,Dumplings,07-11-24,07-11-24,3.67,5.58,Bike,High,Rainy,8.48,Route_5,CUST000097,26,Male,Delhi,26,4,Mediterranean,Monthly,No,Hot,4,5,Good,2,False,False,Bike-friendly,0.571187665,No
ORD000098,19.0,Shawarma,11-19-24,11-19-24,11.29,30.28,Walk,High,Sunny,14.17,Route_3,CUST000098,43,Male,Ahmedabad,10,5,Italian,Monthly,No,Warm,2,2,Fair,1,True,False,Mixed,0.496407121,No
ORD000099,68.0,Beef pie,05-13-24,05-13-24,4.48,5.23,Car,Low,Sunny,5.54,Route_4,CUST000099,34,Other,Ahmedabad,32,3,Asian,Monthly,Yes,Hot,1,4,Good,1,False,False,Mixed,0.063934511,No
ORD000100,55.0,Sushi,06-06-24,06-06-24,9.93,19.23,Bike,High,Rainy,19.64,Route_1,CUST000100,48,Other,Bangalore,38,1,Mediterranean,Monthly,No,Cold,5,2,Fair,5,True,True,Mixed,0.478961575,No
ORD000101,54.0,Pizza,06-24-24,06-24-24,4.24,45.31,Walk,High,Sunny,2.11,Route_5,CUST000101,60,Female,Lucknow,29,2,American,Weekly,Yes,Hot,1,3,Fair,4,False,True,Mixed,0.241184778,No
ORD000102,2.0,Burritos,12-05-24,12-05-24,5.82,36.64,Car,Low,Rainy,-2.4,Route_5,CUST000102,53,Male,Delhi,10,2,Mediterranean,Monthly,Yes,Warm,1,3,Good,4,True,True,Car-only,0.839732223,Yes
ORD000103,10.0,Chicken rice,06-27-24,06-27-24,12.49,26.32,Car,Low,Rainy,8.77,Route_3,CUST000103,20,Other,Ahmedabad,48,3,Mediterranean,Weekly,Yes,Cold,1,3,Fair,2,False,True,Mixed,0.6952174,No
ORD000104,13.0,Cup cake,01-10-24,01-10-24,10.88,20.47,Car,High,Snowy,-0.79,Route_4,CUST000104,59,Other,Delhi,12,2,Asian,Monthly,No,Warm,5,3,Poor,3,True,True,Mixed,0.498018216,No
ORD000105,12.0,Chicken wings,09-03-24,,13.2,21.17,Walk,High,Sunny,18.67,Route_5,CUST000105,60,Other,Ahmedabad,21,2,American,Weekly,Yes,Warm,2,4,Good,3,False,False,Car-only,0.659612923,No
ORD000106,40.0,Shawarma,03-26-24,03-26-24,9.68,8.52,Bike,Low,Rainy,2.83,Route_1,CUST000106,27,Male,Bangalore,10,5,American,Weekly,Yes,Warm,2,5,Fair,5,True,False,Mixed,0.808895982,Yes
,,Shawarma,04-08-24,04-08-24,12.87,15.33,Car,High,Snowy,10.72,Route_5,CUST000107,46,Male,Chennai,3,3,Asian,Weekly,Yes,Warm,2,2,Fair,3,True,False,Car-only,0.909119996,Yes
ORD000108,,Taccos,08-05-24,08-05-24,6.23,36.23,Bike,Low,Rainy,6.04,Route_5,CUST000108,19,Female,Mumbai,18,1,Mexican,Monthly,No,Cold,4,5,Fair,4,False,False,Bike-friendly,0.12230587,No
ORD000109,67.0,Fried chicken,,11-12-24,5.05,29.65,Bike,High,Rainy,1.56,Route_3,CUST000109,49,Male,Jaipur,13,2,American,Weekly,Yes,Cold,4,1,Fair,4,True,True,Mixed,0.237958483,No
ORD000110,28.0,Pizza,04-27-24,04-27-24,14.26,21.52,Car,Medium,Sunny,-2.13,Route_1,CUST000110,18,Male,Ahmedabad,39,5,Italian,Weekly,No,Warm,5,5,Good,3,True,True,Mixed,0.223671802,No
ORD000111,26.0,Shawarma,12-11-24,12-11-24,7.62,29.19,Bike,Medium,Sunny,-6.58,Route_4,CUST000111,19,Other,Bangalore,7,1,American,Weekly,No,Cold,4,3,Poor,4,False,True,Car-only,0.811877512,Yes
ORD000112,43.0,Soup,10-18-24,10-18-24,13.59,38.85,Car,High,Snowy,0.13,Route_1,CUST000112,36,Other,Chennai,43,5,Mediterranean,Monthly,Yes,Cold,1,4,Poor,2,False,False,Car-only,0.150937247,No
